#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CHH
sample	bin	methType	mCount	tCount	value
S2	0	CHH	124497	949034	0.131183
S2	1	CHH	123065	932847	0.131924
S2	2	CHH	125514	912614	0.137532
S2	3	CHH	117584	880964	0.133472
S2	4	CHH	123782	894183	0.138430
S2	5	CHH	122723	891262	0.137696
S2	6	CHH	120361	872889	0.137888
S2	7	CHH	117575	867373	0.135553
S2	8	CHH	112937	818349	0.138006
S2	9	CHH	110580	798290	0.138521
S2	10	CHH	109098	750622	0.145343
S2	11	CHH	102431	729722	0.140370
S2	12	CHH	100415	724573	0.138585
S2	13	CHH	99639	725237	0.137388
S2	14	CHH	90753	713813	0.127138
S2	15	CHH	88209	717926	0.122866
S2	16	CHH	79483	716625	0.110913
S2	17	CHH	61738	718910	0.085877
S2	18	CHH	52214	740637	0.070499
S2	19	CHH	44977	823419	0.054622
S2	20	CHH	70218	1564534	0.044881
S2	21	CHH	65083	1863914	0.034917
S2	22	CHH	71098	2080256	0.034178
S2	23	CHH	72130	2221183	0.032474
S2	24	CHH	73163	2401175	0.030470
S2	25	CHH	76750	2456102	0.031249
S2	26	CHH	79190	2525351	0.031358
S2	27	CHH	72630	2439572	0.029772
S2	28	CHH	74686	2364672	0.031584
S2	29	CHH	77672	2387079	0.032539
S2	30	CHH	75068	2282216	0.032893
S2	31	CHH	73811	2204409	0.033483
S2	32	CHH	82871	2206668	0.037555
S2	33	CHH	78594	2131534	0.036872
S2	34	CHH	80052	2070849	0.038657
S2	35	CHH	77040	2006120	0.038402
S2	36	CHH	84013	2033702	0.041310
S2	37	CHH	88032	2022884	0.043518
S2	38	CHH	93108	1929474	0.048256
S2	39	CHH	87374	1574558	0.055491
S2	40	CHH	66860	952837	0.070169
S2	41	CHH	69697	898048	0.077609
S2	42	CHH	78262	884097	0.088522
S2	43	CHH	79367	844604	0.093969
S2	44	CHH	83733	852550	0.098215
S2	45	CHH	86946	869444	0.100002
S2	46	CHH	90930	874672	0.103959
S2	47	CHH	95322	902152	0.105661
S2	48	CHH	103968	916303	0.113465
S2	49	CHH	98849	901886	0.109603
S2	50	CHH	104016	939057	0.110766
S2	51	CHH	105224	927556	0.113442
S2	52	CHH	104927	912208	0.115025
S2	53	CHH	108663	905727	0.119973
S2	54	CHH	110361	909402	0.121356
S2	55	CHH	106891	915343	0.116777
S2	56	CHH	106380	925388	0.114957
S2	57	CHH	103978	932444	0.111511
S2	58	CHH	111665	959948	0.116324
S2	59	CHH	114458	968147	0.118224
