#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CG
sample	bin	methType	mCount	tCount	value
S4	0	CG	431471	504037	0.856030
S4	1	CG	425630	503680	0.845041
S4	2	CG	416166	488678	0.851616
S4	3	CG	428084	500896	0.854636
S4	4	CG	427844	505423	0.846507
S4	5	CG	419165	499879	0.838533
S4	6	CG	425448	506596	0.839817
S4	7	CG	428421	504150	0.849789
S4	8	CG	402801	481117	0.837220
S4	9	CG	410860	494895	0.830196
S4	10	CG	383319	461778	0.830094
S4	11	CG	360458	448360	0.803948
S4	12	CG	336416	424385	0.792714
S4	13	CG	323650	420253	0.770131
S4	14	CG	297144	403603	0.736228
S4	15	CG	261405	378351	0.690906
S4	16	CG	259324	398094	0.651414
S4	17	CG	239743	400971	0.597906
S4	18	CG	211425	398295	0.530825
S4	19	CG	211700	450923	0.469481
S4	20	CG	426998	1014208	0.421016
S4	21	CG	422911	1228633	0.344213
S4	22	CG	477578	1223558	0.390319
S4	23	CG	532958	1153511	0.462031
S4	24	CG	606425	1154271	0.525375
S4	25	CG	672598	1166835	0.576429
S4	26	CG	706424	1144349	0.617315
S4	27	CG	740065	1146318	0.645602
S4	28	CG	755794	1120265	0.674656
S4	29	CG	803184	1150437	0.698156
S4	30	CG	831616	1159243	0.717378
S4	31	CG	817408	1143897	0.714582
S4	32	CG	888747	1191181	0.746106
S4	33	CG	876121	1177469	0.744071
S4	34	CG	859852	1168461	0.735884
S4	35	CG	853828	1165886	0.732343
S4	36	CG	882574	1228961	0.718146
S4	37	CG	903658	1246663	0.724861
S4	38	CG	842537	1186665	0.710004
S4	39	CG	623089	876290	0.711053
S4	40	CG	263285	411817	0.639325
S4	41	CG	246865	358145	0.689288
S4	42	CG	277663	370188	0.750059
S4	43	CG	312715	408739	0.765073
S4	44	CG	320832	406953	0.788376
S4	45	CG	312035	402059	0.776093
S4	46	CG	327776	408611	0.802171
S4	47	CG	353257	437600	0.807260
S4	48	CG	389064	484619	0.802824
S4	49	CG	375446	507920	0.739183
S4	50	CG	348929	442178	0.789114
S4	51	CG	369423	446397	0.827566
S4	52	CG	372350	437686	0.850724
S4	53	CG	380097	447305	0.849749
S4	54	CG	369677	437760	0.844474
S4	55	CG	397487	465425	0.854030
S4	56	CG	398570	471338	0.845614
S4	57	CG	391903	461073	0.849980
S4	58	CG	423384	495156	0.855052
S4	59	CG	411163	484957	0.847834
