#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CG
sample	bin	methType	mCount	tCount	value
S1	0	CG	427536	481694	0.887568
S1	1	CG	417250	475245	0.877968
S1	2	CG	421991	475264	0.887909
S1	3	CG	434646	491157	0.884943
S1	4	CG	433025	493125	0.878124
S1	5	CG	430696	493254	0.873173
S1	6	CG	430318	495468	0.868508
S1	7	CG	440111	500006	0.880211
S1	8	CG	416497	481692	0.864654
S1	9	CG	409386	479369	0.854010
S1	10	CG	403419	467793	0.862388
S1	11	CG	380840	451518	0.843466
S1	12	CG	352689	428180	0.823693
S1	13	CG	351759	435586	0.807554
S1	14	CG	324912	416920	0.779315
S1	15	CG	283068	385811	0.733696
S1	16	CG	280477	403975	0.694293
S1	17	CG	247123	391539	0.631158
S1	18	CG	216126	385758	0.560263
S1	19	CG	210823	427790	0.492819
S1	20	CG	409980	897294	0.456907
S1	21	CG	385552	1032604	0.373378
S1	22	CG	423414	1003567	0.421909
S1	23	CG	472597	951028	0.496933
S1	24	CG	516935	936399	0.552046
S1	25	CG	569563	948611	0.600418
S1	26	CG	603520	937658	0.643646
S1	27	CG	632243	939664	0.672839
S1	28	CG	666855	940349	0.709157
S1	29	CG	699161	960321	0.728049
S1	30	CG	737688	985938	0.748209
S1	31	CG	723856	977183	0.740758
S1	32	CG	803625	1039291	0.773243
S1	33	CG	796361	1028268	0.774468
S1	34	CG	770623	1010953	0.762274
S1	35	CG	773875	1020175	0.758571
S1	36	CG	809589	1096384	0.738417
S1	37	CG	824336	1102967	0.747380
S1	38	CG	780380	1066697	0.731585
S1	39	CG	595058	806747	0.737602
S1	40	CG	253864	389664	0.651495
S1	41	CG	243991	340385	0.716809
S1	42	CG	261866	339229	0.771945
S1	43	CG	294133	374762	0.784853
S1	44	CG	304719	377051	0.808164
S1	45	CG	299712	377965	0.792962
S1	46	CG	313731	380070	0.825456
S1	47	CG	338622	408330	0.829285
S1	48	CG	378605	461615	0.820175
S1	49	CG	362508	493215	0.734990
S1	50	CG	337436	422707	0.798274
S1	51	CG	348950	415407	0.840020
S1	52	CG	360747	415007	0.869255
S1	53	CG	364200	418270	0.870729
S1	54	CG	356645	411467	0.866765
S1	55	CG	371987	426177	0.872846
S1	56	CG	384007	440725	0.871308
S1	57	CG	382508	437457	0.874390
S1	58	CG	408413	467571	0.873478
S1	59	CG	388664	447771	0.867997
