#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CHG
sample	bin	methType	mCount	tCount	value
S2	0	CHG	102602	160284	0.640126
S2	1	CHG	99154	160652	0.617197
S2	2	CHG	101282	158043	0.640851
S2	3	CHG	97259	153691	0.632822
S2	4	CHG	95588	149930	0.637551
S2	5	CHG	93977	147178	0.638526
S2	6	CHG	94896	156054	0.608097
S2	7	CHG	86566	139767	0.619359
S2	8	CHG	88682	154996	0.572157
S2	9	CHG	75375	128132	0.588261
S2	10	CHG	76078	125365	0.606852
S2	11	CHG	66924	114978	0.582059
S2	12	CHG	63973	113670	0.562796
S2	13	CHG	66437	118149	0.562315
S2	14	CHG	72803	125905	0.578238
S2	15	CHG	70681	128342	0.550724
S2	16	CHG	60023	123643	0.485454
S2	17	CHG	65596	134469	0.487815
S2	18	CHG	59733	136188	0.438607
S2	19	CHG	60201	163441	0.368335
S2	20	CHG	104981	395017	0.265763
S2	21	CHG	101774	522756	0.194687
S2	22	CHG	103698	567577	0.182703
S2	23	CHG	115233	604967	0.190478
S2	24	CHG	112196	630973	0.177814
S2	25	CHG	117195	641193	0.182776
S2	26	CHG	117781	636712	0.184983
S2	27	CHG	103928	606617	0.171324
S2	28	CHG	107574	590903	0.182050
S2	29	CHG	110533	580458	0.190424
S2	30	CHG	121324	572154	0.212048
S2	31	CHG	108047	558292	0.193531
S2	32	CHG	117684	546508	0.215338
S2	33	CHG	122174	533301	0.229090
S2	34	CHG	111803	510650	0.218943
S2	35	CHG	110113	495891	0.222051
S2	36	CHG	114228	507217	0.225205
S2	37	CHG	117961	506623	0.232838
S2	38	CHG	122910	470549	0.261206
S2	39	CHG	128531	369386	0.347959
S2	40	CHG	64581	150460	0.429224
S2	41	CHG	64143	135315	0.474027
S2	42	CHG	70429	137988	0.510399
S2	43	CHG	72100	133376	0.540577
S2	44	CHG	73839	135388	0.545388
S2	45	CHG	78879	141928	0.555768
S2	46	CHG	78847	139634	0.564669
S2	47	CHG	81381	142715	0.570234
S2	48	CHG	82060	144362	0.568432
S2	49	CHG	80576	152164	0.529534
S2	50	CHG	81318	141463	0.574836
S2	51	CHG	82027	140843	0.582400
S2	52	CHG	92749	154695	0.599560
S2	53	CHG	85426	147751	0.578175
S2	54	CHG	92227	154462	0.597085
S2	55	CHG	83223	142307	0.584813
S2	56	CHG	85793	146245	0.586639
S2	57	CHG	86112	148410	0.580230
S2	58	CHG	89019	149557	0.595218
S2	59	CHG	91163	149098	0.611430
