#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CHG
sample	bin	methType	mCount	tCount	value
S3	0	CHG	131589	196606	0.669303
S3	1	CHG	127023	195853	0.648563
S3	2	CHG	128269	192528	0.666236
S3	3	CHG	122761	187634	0.654258
S3	4	CHG	122458	184675	0.663100
S3	5	CHG	120684	180447	0.668806
S3	6	CHG	122746	188779	0.650210
S3	7	CHG	113967	176107	0.647146
S3	8	CHG	116432	186355	0.624786
S3	9	CHG	99071	159523	0.621045
S3	10	CHG	100585	158274	0.635512
S3	11	CHG	89249	143925	0.620108
S3	12	CHG	84246	140232	0.600762
S3	13	CHG	86995	146290	0.594675
S3	14	CHG	97801	158262	0.617969
S3	15	CHG	94762	159286	0.594917
S3	16	CHG	77614	146966	0.528109
S3	17	CHG	84921	159462	0.532547
S3	18	CHG	74437	154583	0.481534
S3	19	CHG	74600	179278	0.416114
S3	20	CHG	128462	397069	0.323526
S3	21	CHG	120213	501334	0.239786
S3	22	CHG	122859	542307	0.226549
S3	23	CHG	136792	586302	0.233313
S3	24	CHG	130034	607356	0.214098
S3	25	CHG	138516	627994	0.220569
S3	26	CHG	139240	626700	0.222180
S3	27	CHG	121078	604117	0.200421
S3	28	CHG	127441	594290	0.214442
S3	29	CHG	127770	584273	0.218682
S3	30	CHG	142270	582875	0.244083
S3	31	CHG	127679	563920	0.226413
S3	32	CHG	141462	569937	0.248206
S3	33	CHG	145969	551204	0.264818
S3	34	CHG	132273	522737	0.253039
S3	35	CHG	129702	510785	0.253927
S3	36	CHG	136161	524189	0.259756
S3	37	CHG	140285	524486	0.267471
S3	38	CHG	147445	493708	0.298648
S3	39	CHG	157249	401372	0.391779
S3	40	CHG	82237	173093	0.475103
S3	41	CHG	81676	160789	0.507970
S3	42	CHG	90069	164051	0.549030
S3	43	CHG	90852	159499	0.569609
S3	44	CHG	93253	161880	0.576063
S3	45	CHG	100208	171532	0.584194
S3	46	CHG	98899	167547	0.590276
S3	47	CHG	101421	169035	0.600000
S3	48	CHG	103731	173639	0.597395
S3	49	CHG	103132	181801	0.567280
S3	50	CHG	104277	171091	0.609483
S3	51	CHG	104430	171322	0.609554
S3	52	CHG	118487	188247	0.629423
S3	53	CHG	109957	178615	0.615609
S3	54	CHG	116160	184375	0.630020
S3	55	CHG	105803	172400	0.613706
S3	56	CHG	108944	177612	0.613382
S3	57	CHG	108783	177791	0.611859
S3	58	CHG	113581	181541	0.625649
S3	59	CHG	115424	180339	0.640039
